shape,demo,method,parameters_per_dim,total_parameters,mean_l2,rmse,max_l2,frobenius_per_point,mean_l2_over_bbox_percent
Spoon,5,piecewise,3,6,6.1450138871063755,6.9602251859403514,13.793467480037258,0.22010164615240477,11.642723713777555
Spoon,6,piecewise,3,6,6.303634679259932,7.0307633798865705,13.62525758428114,0.22233225970145232,12.012684813221366
Sshape,0,piecewise,3,6,12.870686676406462,14.403665737365186,24.49819068825941,0.4554839038580263,21.960517117676794
Sshape,1,piecewise,3,6,12.808637607363863,14.293353799838673,26.423194365339803,0.4519955341011266,21.476673040465254
Sshape,2,piecewise,3,6,13.851199640052029,15.314306070789907,28.03972948080707,0.4842808796863992,21.499802159512107
Sshape,3,piecewise,3,6,13.78223392332069,15.155780396609208,27.24067926050524,0.4792678577061516,20.93952553733414
Sshape,4,piecewise,3,6,13.559237628925803,15.10576008892069,26.418524856960012,0.47768607669057006,20.56913687462308
Sshape,5,piecewise,3,6,13.507732095149118,15.0112537291091,26.167937911598855,0.47469752318680986,20.624103526257265
Sshape,6,piecewise,3,6,14.319465358005404,15.92886883923199,28.485936510156957,0.5037150608205555,21.47461589455232
Trapezoid,0,piecewise,3,6,6.3324480874385465,7.147931319531097,12.072429318110517,0.22603743528171075,12.915827266158157
Trapezoid,1,piecewise,3,6,7.210374975938311,8.154047596017078,14.606714289311581,0.25785362552834484,13.133321117355948
Trapezoid,2,piecewise,3,6,6.868491567167965,7.77308267314598,13.67429078086074,0.24580645687931443,13.644296024949837
Trapezoid,3,piecewise,3,6,7.482933841706692,8.47621167654949,15.157640493493677,0.2680413482761082,13.559729876757041
Trapezoid,4,piecewise,3,6,7.6627189481681945,8.713293116224365,17.28725487822211,0.27553852167935233,14.005475328207874
Trapezoid,5,piecewise,3,6,7.986181030672444,9.090481976555356,16.432979392516998,0.2874662807462429,14.277528759283387
Trapezoid,6,piecewise,3,6,7.856854151497154,8.883614333659906,15.72613298696189,0.2809245514888432,14.412234693088783
